,time[s],T1,T2/T3,pumpe
117,3.9000167770799274,0.1,0.0883,0.01
118,3.9333502538071063,0.1,0.0883,0.01
119,3.9666837305342852,0.1,0.0883,0.01
120,4.000017207261464,0.1,0.0883,0.01
121,4.033350683988643,0.1,0.0883,0.01
122,4.0666841607158215,0.1,0.0883,0.01
123,4.100017637443001,0.1,0.0883,0.01
124,4.133351114170179,0.1,0.0883,0.01
125,4.166684590897359,0.1,0.0883,0.01
126,4.200018067624537,0.1,0.0883,0.01
127,4.2333515443517165,0.1,0.0883,0.01
128,4.266685021078895,0.1,0.0883,0.01
129,4.300018497806073,0.1,0.0883,0.01
130,4.333351974533253,0.1,0.0882,0.01
131,4.366685451260431,0.1,0.0882,0.01
132,4.4000189279876105,0.1,0.0882,0.01
133,4.433352404714789,0.1,0.0882,0.01
134,4.466685881441968,0.1,0.0882,0.01
135,4.500019358169147,0.1,0.0882,0.01
136,4.533352834896326,0.1,0.0882,0.01
137,4.566686311623505,0.1,0.088,0.01
138,4.600019788350684,0.1,0.088,0.01
139,4.633353265077862,0.1,0.088,0.01
140,4.666686741805042,0.1,0.088,0.01
141,4.70002021853222,0.1,0.088,0.01
142,4.733353695259399,0.1,0.088,0.01
143,4.766687171986578,0.1,0.088,0.01
144,4.800020648713756,0.1,0.088,0.01
145,4.833354125440936,0.1,0.0877,0.01
146,4.866687602168114,0.1,0.0877,0.01
147,4.900021078895294,0.1,0.0877,0.01
148,4.933354555622472,0.1,0.0877,0.01
149,4.966688032349651,0.1,0.0877,0.01
150,5.00002150907683,0.1,0.0877,0.01
151,5.033354985804009,0.1,0.0877,0.01
152,5.066688462531188,0.1,0.0877,0.01
153,5.100021939258367,0.1,0.0877,0.01
154,5.1333554159855455,0.1,0.0877,0.01
155,5.166688892712724,0.1,0.0877,0.01
156,5.200022369439903,0.1,0.0877,0.01
157,5.233355846167082,0.1,0.0877,0.01
158,5.266689322894261,0.1,0.0877,0.01
159,5.3000227996214395,0.1,0.0877,0.01
160,5.333356276348619,0.1,0.0877,0.01
161,5.366689753075797,0.1,0.0877,0.01
162,5.400023229802977,0.1,0.0877,0.01
163,5.433356706530155,0.1,0.0877,0.01
164,5.4666901832573345,0.1,0.0877,0.01
165,5.500023659984513,0.1,0.0877,0.01
166,5.533357136711692,0.1,0.0877,0.01
167,5.566690613438871,0.1,0.0875,0.01
168,5.600024090166049,0.1,0.0875,0.01
169,5.6333575668932285,0.1,0.0875,0.01
170,5.666691043620407,0.1,0.0875,0.01
171,5.700024520347586,0.1,0.0875,0.01
172,5.733357997074765,0.1,0.0875,0.01
173,5.766691473801944,0.1,0.0875,0.01
174,5.800024950529123,0.1,0.0875,0.01
