Frequenz(ms);Kanal A(mV);Kanal B(V)
0,37120000;-36,52760000;2,72347200
0,37376000;-36,52760000;2,72347200
0,37632000;-36,52760000;2,72347200
0,37888000;-36,52760000;2,72347200
0,38144000;-39,27427000;2,72347200
0,38400000;-38,35871000;2,72347200
0,38656000;-39,27427000;2,72347200
0,38912000;-38,35871000;2,72347200
0,39168000;-36,52760000;2,72347200
0,39424000;-33,78094000;2,81441700
0,39680000;-39,27427000;2,81441700
0,39936000;-42,01788000;2,81441700
0,40192000;-42,01788000;2,81441700
0,40448000;-40,18677000;2,81441700
0,40704000;-40,18677000;2,90536200
0,40960000;-39,27427000;2,81441700
0,41216000;-39,27427000;2,81441700
0,41472000;-38,35871000;2,81441700
0,41728000;-39,27427000;2,81441700
0,41984000;-40,18677000;2,90536200
0,42240000;-37,44316000;2,90536200
0,42496000;-38,35871000;2,90536200
0,42752000;-42,01788000;2,90536200
0,43008000;-42,93344000;2,90536200
0,43264000;-42,01788000;2,90536200
0,43520000;-40,18677000;2,90536200
0,43776000;-41,10233000;2,90536200
0,44032000;-42,01788000;2,90536200
0,44288000;-41,10233000;2,90536200
0,44544000;-42,01788000;2,90536200
0,44800000;-42,93344000;2,90536200
0,45056000;-41,10233000;2,99630700
0,45312000;-40,18677000;2,99630700
0,45568000;-42,93344000;2,99630700
0,45824000;-42,93344000;2,99630700
0,46080000;-38,35871000;2,99630700
0,46336000;-43,84899000;2,99630700
0,46592000;-42,01788000;2,99630700
0,46848000;-45,67705000;2,99630700
0,47104000;-42,01788000;2,99630700
0,47360000;-42,93344000;2,99630700
0,47616000;-43,84899000;2,99630700
0,47872000;-42,01788000;2,99630700
0,48128000;-42,01788000;2,99630700
0,48384000;-42,01788000;3,08725200
0,48640000;-43,84899000;2,99630700
0,48896000;-42,93344000;2,99630700
0,49152000;-43,84899000;3,08725200
0,49408000;-42,93344000;3,08725200
0,49664000;-41,10233000;3,08725200
0,49920000;-45,67705000;3,08725200
0,50176000;-42,93344000;3,17819800
0,50432000;-42,93344000;3,08725200
0,50688000;-43,84899000;3,17819800
0,50944000;-39,27427000;3,17819800
0,51200000;-43,84899000;3,17819800
0,51456000;-43,84899000;3,17819800
0,51712000;-42,93344000;3,17819800
0,51968000;-44,76455000;3,17819800
0,52224000;-43,84899000;3,17819800
0,52480000;-45,67705000;3,17819800
0,52736000;-43,84899000;3,17819800
0,52992000;-45,67705000;3,17819800
0,53248000;-45,67705000;3,17819800
0,53504000;-43,84899000;3,17819800
0,53760000;-43,84899000;3,26914300
0,54016000;-43,84899000;3,26914300
0,54272000;-42,93344000;3,17819800
0,54528000;-46,59261000;3,26914300
0,54784000;-43,84899000;3,26914300
0,55040000;-50,25483000;3,26914300
0,55296000;-46,59261000;3,26914300
0,55552000;-46,59261000;3,26914300
0,55808000;-46,59261000;3,26914300
0,56064000;-45,67705000;3,26914300
0,56320000;-44,76455000;3,26914300
0,56576000;-43,84899000;3,26914300
0,56832000;-45,67705000;3,26914300
0,57088000;-46,59261000;3,36008800
0,57344000;-49,33927000;3,26914300
0,57600000;-46,59261000;3,36008800
0,57856000;-47,50816000;3,36008800
0,58112000;-45,67705000;3,26914300
0,58368000;-47,50816000;3,36008800
0,58624000;-47,50816000;3,36008800
0,58880000;-46,59261000;3,36008800
0,59136000;-44,76455000;3,36008800
0,59392000;-45,67705000;3,36008800
0,59648000;-47,50816000;3,36008800
0,59904000;-47,50816000;3,36008800
0,60160000;-49,33927000;3,36008800
0,60416000;-47,50816000;3,36008800
0,60672000;-49,33927000;3,45103300
0,60928000;-47,50816000;3,36008800
0,61184000;-45,67705000;3,36008800
0,61440000;-47,50816000;3,36008800
0,61696000;-47,50816000;3,45103300
0,61952000;-47,50816000;3,45103300
0,62208000;-43,84899000;3,45103300
0,62464000;-46,59261000;3,45103300
0,62720000;-45,67705000;3,45103300
0,62976000;-49,33927000;3,45103300
0,63232000;-49,33927000;3,54197800
0,63488000;-47,50816000;3,45103300
0,63744000;-47,50816000;3,45103300
0,64000000;-52,99844000;3,54197800
0,64256000;-47,50816000;3,45103300
0,64512000;-49,33927000;3,45103300
0,64768000;-47,50816000;3,54197800
0,65024000;-49,33927000;3,54197800
0,65280000;-50,25483000;3,54197800
0,65536000;-50,25483000;3,54197800
0,65792000;-50,25483000;3,45103300
0,66048000;-49,33927000;3,54197800
0,66304000;-49,33927000;3,54197800
0,66560000;-50,25483000;3,54197800
0,66816000;-49,33927000;3,63292300
0,67072000;-49,33927000;3,63292300
0,67328000;-49,33927000;3,54197800
0,67584000;-56,66066000;3,63292300
0,67840000;-51,17038000;3,63292300
0,68096000;-51,17038000;3,63292300
0,68352000;-49,33927000;3,54197800
0,68608000;-53,91400000;3,63292300
0,68864000;-50,25483000;3,63292300
0,69120000;-51,17038000;3,63292300
0,69376000;-50,25483000;3,63292300
0,69632000;-51,17038000;3,63292300
0,69888000;-52,08289000;3,63292300
0,70144000;-52,99844000;3,72386900
0,70400000;-51,17038000;3,72386900
0,70656000;-49,33927000;3,72386900
0,70912000;-47,50816000;3,72386900
0,71168000;-52,08289000;3,72386900
0,71424000;-55,74511000;3,72386900
0,71680000;-49,33927000;3,72386900
0,71936000;-51,17038000;3,72386900
0,72192000;-53,91400000;3,72386900
0,72448000;-52,99844000;3,72386900
0,72704000;-51,17038000;3,72386900
0,72960000;-52,99844000;3,72386900
0,73216000;-52,99844000;3,72386900
0,73472000;-51,17038000;3,72386900
0,73728000;-54,82955000;3,72386900
0,73984000;-52,99844000;3,72386900
0,74240000;-52,08289000;3,72386900
0,74496000;-51,17038000;3,81481400
0,74752000;-51,17038000;3,72386900
0,75008000;-53,91400000;3,90575900
0,75264000;-52,99844000;3,81481400
0,75520000;-51,17038000;3,90575900
0,75776000;-56,66066000;3,81481400
0,76032000;-52,08289000;3,81481400
0,76288000;-54,82955000;3,81481400
0,76544000;-52,99844000;3,81481400
0,76800000;-52,99844000;3,90575900
0,77056000;-52,99844000;3,90575900
0,77312000;-54,82955000;3,90575900
0,77568000;-51,17038000;3,90575900
0,77824000;-51,17038000;3,90575900
0,78080000;-54,82955000;3,90575900
0,78336000;-54,82955000;3,90575900
0,78592000;-51,17038000;3,90575900
0,78848000;-52,99844000;3,90575900
0,79104000;-56,66066000;3,90575900
0,79360000;-54,82955000;3,90575900
0,79616000;-53,91400000;3,99670400
0,79872000;-52,99844000;3,90575900
0,80128000;-54,82955000;3,90575900
0,80384000;-54,82955000;3,90575900
0,80640000;-54,82955000;3,90575900
0,80896000;-54,82955000;3,99670400
0,81152000;-53,91400000;3,99670400
0,81408000;-54,82955000;3,99670400
0,81664000;-53,91400000;3,99670400
0,81920000;-54,82955000;3,99670400
0,82176000;-54,82955000;3,99670400
0,82431999;-50,25483000;3,99670400
0,82687999;-53,91400000;3,99670400
0,82943999;-56,66066000;3,99670400
0,83199999;-54,82955000;3,99670400
0,83455999;-56,66066000;3,99670400
0,83711999;-54,82955000;4,08764900
0,83967999;-53,91400000;4,08764900
0,84223999;-56,66066000;3,99670400
0,84479999;-56,66066000;3,99670400
0,84735999;-56,66066000;3,99670400
0,84991999;-55,74511000;3,99670400
0,85247999;-54,82955000;4,08764900
0,85503999;-54,82955000;4,08764900
0,85759999;-56,66066000;4,08764900
0,86015999;-53,91400000;4,08764900
0,86271999;-58,48872000;4,08764900
0,86527999;-54,82955000;4,08764900
0,86783999;-58,48872000;4,08764900
0,87039999;-57,57317000;4,08764900
0,87295999;-58,48872000;4,08764900
0,87551999;-58,48872000;4,08764900
0,87807999;-54,82955000;4,08764900
0,88063999;-56,66066000;4,08764900
0,88319999;-59,40428000;4,08764900
0,88575999;-56,66066000;4,08764900
0,88831999;-56,66066000;4,08764900
0,89087999;-57,57317000;4,17859400
0,89343999;-58,48872000;4,08764900
0,89599999;-55,74511000;4,08764900
0,89855999;-58,48872000;4,08764900
0,90111999;-55,74511000;4,08764900
0,90367999;-56,66066000;4,17859400
0,90623999;-59,40428000;4,17859400
0,90879999;-57,57317000;4,17859400
0,91135999;-57,57317000;4,17859400
0,91391999;-57,57317000;4,17859400
0,91647999;-58,48872000;4,17859400
0,91903999;-56,66066000;4,17859400
0,92159999;-60,31983000;4,17859400
0,92415999;-58,48872000;4,17859400
0,92671999;-58,48872000;4,17859400
0,92927999;-58,48872000;4,17859400
0,93183999;-57,57317000;4,17859400
0,93439999;-58,48872000;4,26953900
0,93695999;-58,48872000;4,26953900
0,93951999;-58,48872000;4,26953900
0,94207999;-60,31983000;4,26953900
0,94463999;-59,40428000;4,26953900
0,94719999;-60,31983000;4,26953900
0,94975999;-58,48872000;4,26953900
0,95231999;-60,31983000;4,26953900
0,95487999;-60,31983000;4,26953900
0,95743999;-58,48872000;4,26953900
0,95999999;-61,23539000;4,26953900
0,96255999;-61,23539000;4,26953900
0,96511999;-61,23539000;4,26953900
0,96767999;-61,23539000;4,36048500
0,97023999;-62,15094000;4,36048500
0,97279999;-61,23539000;4,36048500
0,97535999;-58,48872000;4,26953900
0,97791999;-60,31983000;4,26953900
0,98047999;-60,31983000;4,36048500
0,98303999;-59,40428000;4,26953900
0,98559999;-58,48872000;4,36048500
0,98815999;-61,23539000;4,36048500
0,99071999;-60,31983000;4,36048500
0,99327999;-58,48872000;4,36048500
0,99583999;-56,66066000;4,36048500
0,99839999;-61,23539000;4,36048500
1,00095999;-58,48872000;4,36048500
1,00351999;-58,48872000;4,36048500
1,00607999;-60,31983000;4,36048500
1,00863999;-62,15094000;4,36048500
1,01119999;-61,23539000;4,36048500
1,01375999;-61,23539000;4,36048500
1,01631999;-61,23539000;4,36048500
1,01887999;-63,06345000;4,36048500
1,02143999;-62,15094000;4,45143000
1,02399999;-61,23539000;4,45143000
1,02655999;-56,66066000;4,36048500
1,02911999;-61,23539000;4,45143000
1,03167999;-62,15094000;4,36048500
1,03423999;-61,23539000;4,45143000
1,03679999;-61,23539000;4,45143000
1,03935999;-61,23539000;4,45143000
1,04191999;-63,97900000;4,45143000
1,04447999;-61,23539000;4,45143000
1,04703999;-63,06345000;4,45143000
1,04959999;-63,97900000;4,45143000
1,05215999;-62,15094000;4,45143000
1,05471999;-62,15094000;4,45143000
1,05727999;-63,06345000;4,45143000
1,05983999;-62,15094000;4,45143000
1,06239999;-63,06345000;4,45143000
1,06495999;-62,15094000;4,45143000
1,06751999;-62,15094000;4,45143000
1,07007999;-65,81011000;4,45143000
1,07263999;-62,15094000;4,45143000
1,07519999;-63,97900000;4,45143000
1,07775999;-58,48872000;4,45143000
1,08031999;-61,23539000;4,45143000
1,08287999;-63,97900000;4,54237500
1,08543999;-62,15094000;4,54237500
1,08799999;-64,89456000;4,45143000
1,09055999;-63,06345000;4,54237500
1,09311999;-60,31983000;4,54237500
1,09567999;-63,97900000;4,54237500
1,09823999;-62,15094000;4,54237500
1,10079999;-62,15094000;4,63362600
1,10335999;-63,97900000;4,63362600
1,10591999;-68,55678000;4,63362600
1,10847999;-63,97900000;4,54237500
1,11103999;-63,06345000;4,63362600
1,11359999;-64,89456000;4,63362600
1,11615999;-64,89456000;4,63362600
1,11871999;-63,97900000;4,63362600
1,12127999;-65,81011000;4,63362600
1,12383999;-65,81011000;4,63362600
1,12639999;-63,06345000;4,63362600
1,12895999;-64,89456000;4,63362600
1,13151999;-63,06345000;4,63362600
1,13407999;-63,97900000;4,63362600
1,13663999;-64,89456000;4,63362600
1,13919999;-64,89456000;4,63362600
1,14175999;-62,15094000;4,63362600
1,14431999;-63,97900000;4,63362600
1,14687999;-63,06345000;4,63362600
1,14943999;-65,81011000;4,63362600
1,15199999;-61,23539000;4,63362600
1,15455999;-64,89456000;4,63362600
1,15711999;-65,81011000;4,63362600
1,15967999;-63,97900000;4,63362600
1,16223999;-65,81011000;4,63362600
1,16479999;-64,89456000;4,63362600
1,16735999;-64,89456000;4,63362600
1,16991999;-65,81011000;4,72457000
1,17247999;-64,89456000;4,72457000
1,17503999;-65,81011000;4,72457000
1,17759999;-65,81011000;4,72457000
1,18015999;-65,81011000;4,72457000
1,18271999;-67,64123000;4,72457000
1,18527999;-64,89456000;4,72457000
1,18783999;-63,97900000;4,72457000
1,19039999;-64,89456000;4,72457000
1,19295999;-64,89456000;4,72457000
1,19551999;-64,89456000;4,72457000
1,19807999;-65,81011000;4,72457000
1,20063999;-64,89456000;4,72457000
1,20319999;-66,72567000;4,72457000
1,20575999;-65,81011000;4,72457000
1,20831999;-67,64123000;4,72457000
1,21087999;-66,72567000;4,72457000
1,21343999;-64,89456000;4,72457000
1,21599999;-68,55678000;4,72457000
1,21855999;-65,81011000;4,72457000
1,22111999;-63,97900000;4,72457000
1,22367999;-64,89456000;4,81551600
1,22623999;-69,46928000;4,72457000
1,22879999;-66,72567000;4,72457000
1,23135999;-69,46928000;4,72457000
1,23391999;-68,55678000;4,81551600
1,23647999;-65,81011000;4,81551600
1,23903999;-67,64123000;4,81551600
1,24159999;-67,64123000;4,72457000
1,24415999;-67,64123000;4,81551600
1,24671999;-67,64123000;4,81551600
1,24927999;-65,81011000;4,81551600
1,25183999;-67,64123000;4,81551600
1,25439999;-69,46928000;4,81551600
1,25695999;-67,64123000;4,81551600
1,25951999;-65,81011000;4,81551600
1,26207999;-69,46928000;4,81551600
1,26463999;-67,64123000;4,81551600
1,26719999;-67,64123000;4,81551600
1,26975999;-67,64123000;4,81551600
1,27231999;-69,46928000;4,81551600
1,27487999;-67,64123000;4,90646100
1,27743999;-65,81011000;4,81551600
1,27999999;-69,46928000;4,90646100
1,28255999;-67,64123000;4,81551600
1,28511999;-69,46928000;4,81551600
1,28767999;-65,81011000;4,81551600
1,29023999;-69,46928000;4,90646100
1,29279999;-68,55678000;4,90646100
1,29535999;-68,55678000;4,90646100
1,29791999;-68,55678000;4,90646100
1,30047999;-68,55678000;4,90646100
1,30303999;-69,46928000;4,90646100
1,30559999;-68,55678000;4,90646100
1,30815999;-69,46928000;4,90646100
1,31071999;-68,55678000;4,90646100
1,31327999;-68,55678000;4,90646100
1,31583999;-68,55678000;4,90646100
1,31839999;-66,72567000;4,90646100
1,32095999;-66,72567000;4,90646100
1,32351999;-67,64123000;4,90646100
1,32607999;-70,38484000;4,90646100
1,32863999;-70,38484000;4,90646100
1,33119999;-69,46928000;4,90646100
1,33375999;-68,55678000;4,90646100
1,33631999;-69,46928000;4,90646100
1,33887999;-68,55678000;4,99740600
1,34143999;-70,38484000;4,99740600
1,34399999;-68,55678000;4,99740600
1,34655999;-71,30039000;4,90646100
1,34911999;-69,46928000;4,90646100
1,35167999;-68,55678000;4,99740600
1,35423999;-71,30039000;4,99740600
1,35679999;-69,46928000;4,90646100
1,35935999;-65,81011000;4,90646100
1,36191999;-69,46928000;4,99740600
1,36447999;-71,30039000;4,99740600
1,36703999;-69,46928000;4,99740600
1,36959999;-71,30039000;4,99740600
1,37215999;-68,55678000;4,90646100
1,37471999;-68,55678000;4,99740600
1,37727999;-69,46928000;4,99740600
1,37983999;-72,21595000;4,99740600
1,38239999;-69,46928000;5,08835100
1,38495999;-69,46928000;4,99740600
1,38751999;-65,81011000;4,99740600
1,39007999;-69,46928000;4,99740600
1,39263999;-70,38484000;4,99740600
1,39519999;-71,30039000;4,99740600
1,39775999;-68,55678000;5,08835100
1,40031999;-69,46928000;5,08835100
1,40287999;-72,21595000;5,08835100
1,40543999;-71,30039000;4,99740600
1,40799999;-70,38484000;4,99740600
1,41055999;-68,55678000;5,08835100
1,41311999;-72,21595000;5,08835100
1,41567999;-72,21595000;5,08835100
1,41823999;-70,38484000;5,08835100
1,42079999;-73,13151000;5,08835100
1,42335999;-68,55678000;5,08835100
1,42591999;-71,30039000;5,08835100
1,42847999;-71,30039000;5,08835100
1,43103999;-73,13151000;5,08835100
1,43359999;-70,38484000;5,08835100
1,43615999;-68,55678000;5,08835100
1,43871999;-70,38484000;5,08835100
1,44127999;-73,13151000;5,08835100
1,44383999;-69,46928000;5,08835100
1,44639999;-71,30039000;5,08835100
1,44895999;-72,21595000;5,08835100
1,45151999;-70,38484000;5,08835100
